Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Camp Murray,20171203,1145,47.11,-122.57,84,2.01712E+11,12,11,Winter,81.71997,12.86919,2.42769,5,10,1010.6,722
Camp Murray,20171203,1315,47.11,-122.57,84,2.01712E+11,12,13,Winter,96.64917,9.66415,2.46273,0,10,1011.3,23
Camp Murray,20171203,1330,47.11,-122.57,84,2.01712E+11,12,13,Winter,93.61572,15.44983,4.46836,5,10,1011.6,32
Camp Murray,20171204,1230,47.11,-122.57,84,2.01712E+11,12,12,Winter,77.21558,10.36659,1.65364,5,2,1024.4,6
Camp Murray,20171204,1415,47.11,-122.57,84,2.01712E+11,12,14,Winter,54.80347,16.85471,6.57939,3,3,1023.7,9
Camp Murray,20171204,1430,47.11,-122.57,84,2.01712E+11,12,14,Winter,47.10083,18.12363,2.92027,0,5,1023.7,722
Camp Murray,20171205,1115,47.11,-122.57,84,2.01712E+11,12,11,Winter,43.55469,19.41269,3.41284,0,4,1025.7,722
Camp Murray,20171205,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,30.56641,23.9093,4.8202,5,7,1026,722
Camp Murray,20171205,1300,47.11,-122.57,84,2.01712E+11,12,13,Winter,17.90771,32.32346,5.98127,5,10,1025.7,722
Camp Murray,20171205,1400,47.11,-122.57,84,2.01712E+11,12,14,Winter,14.4043,35.41267,4.96121,6,10,1025.4,722
Camp Murray,20171205,1500,47.11,-122.57,84,2.01712E+11,12,15,Winter,15.72876,32.91763,2.85006,6,10,1025,722
Camp Murray,20171206,1130,47.11,-122.57,84,2.01712E+11,12,11,Winter,26.18408,25.84541,4.67733,3,3,1025.7,722
Camp Murray,20171206,1200,47.11,-122.57,84,2.01712E+11,12,12,Winter,23.71216,27.76642,4.78501,0,5,1025.7,722
